[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: AIRPLANES_1_TRANSPORT_SUPPLY_ANIM
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: AIRPLANES_3_TRANSPORT_SUPPLY_ANIM
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: TRANSPORT_DIVISION_FACTOR
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: MAX_TRANSPORT_SCENARIOS
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: BORDER_COLOR_BORDER_CONFLICT_EDGE_R
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: BORDER_COLOR_BORDER_CONFLICT_EDGE_G
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: BORDER_COLOR_BORDER_CONFLICT_EDGE_B
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: BORDER_COLOR_BORDER_CONFLICT_EDGE_A
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: BORDER_COLOR_BORDER_CONFLICT_NON_EDGE_R
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: BORDER_COLOR_BORDER_CONFLICT_NON_EDGE_G
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: BORDER_COLOR_BORDER_CONFLICT_NON_EDGE_B
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: BORDER_COLOR_BORDER_CONFLICT_NON_EDGE_A
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: CAPITAL_ICON_CUTOFF
[10:22:02][pdx_lua.cpp:360]: 
LUA Error: incorrect lua value: ARMY_DEFENSIVE_LINE_BUTTON_SIZE
[10:22:02][pdx_lua.cpp:360]: 
LUA Error: incorrect lua value: ARMY_GROUP_DEFENSIVE_LINE_BUTTON_SIZE
[10:22:02][pdx_lua.cpp:360]: 
LUA Error: incorrect lua value: ACCLIMATIZATION_CAMO_SHOW_AT
[10:22:02][pdx_lua.cpp:360]: 
LUA Error: incorrect lua value: ACCLIMATIZATION_CAMO_SHOW_WHEN_IN_STATE
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: DIVISION_NAMES_GROUP_MAX_TOOLTIP_ENTRIES
[10:22:02][pdx_lua.cpp:360]: 
LUA Error: incorrect lua value: TRADE_ROUTE_BAD_EFFICIENCY_THRESHOLD
[10:22:02][pdx_lua.cpp:360]: 
LUA Error: incorrect lua value: TRADE_ROUTE_REGIONAL_BAD_EFFICIENCY_THRESHOLD
[10:22:02][pdx_lua.cpp:462]: 
LUA Error: incorrect lua value: TRAIT_GRID_COLUMN_SHIFTS
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: TRAIT_GRID_ROW_SHIFT
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: UNIT_SELECT_DOUBLE_CLICK_TIME
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: MINIMAP_PING_DURATION
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: MINIMAP_PING_SPEEDUP_ON_SCREEN
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: MINIMAP_PING_DELAY_BETWEEN_PINGS
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: MINIMAP_TOGGLE_DURATION
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: MINIMAP_TOGGLE_SHIFT
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: TIMED_MESSAGE_TIMEOUT
[10:22:02][pdx_lua.cpp:360]: 
LUA Error: incorrect lua value: DRAG_AND_DROP_SCROLLING_SENSITIVITY
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: GRIDBOX_ELEMENTS_INTERPOLATION_SPEED
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: ARMY_GROUP_PORTRAIT_SPACING
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: ARMY_GROUP_FIRST_MEMBER_SPACING
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: ARMY_GROUP_COLLAPSE_EXTRA_SPACING
[10:22:02][pdx_lua.cpp:393]: 
LUA Error: incorrect lua value: ARMY_LIST_BOTTOM_PADDING
[10:22:02][pdx_lua.cpp:462]: 
LUA Error: incorrect lua value: MILITARY_FACTORIES_SCALE
[10:22:02][pdx_lua.cpp:425]: 
LUA Error: incorrect lua value: BATTLE_SOUND_FALLOFF_DEFAULT
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_014' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_015' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_016' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_017' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_018' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_019' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_020' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_021' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_022' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_023' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Positive_024' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Retreat_001' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Retreat_002' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Retreat_003' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Retreat_004' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Retreat_005' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Retreat_006' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Retreat_007' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Retreat_008' already added
[10:22:09][pdx_audio_sdl.cpp:942]: Sound with name 'uk_Retreat_009' already added
[10:22:13][assetfactory_audio.cpp:505]: Could not find music file 'music/sov/CheekiBreeki.ogg' in  file: music/music.asset line: 259
[10:22:14][pdx_audio.cpp:1023]: Missing sounds for effect: ships_destroyer_damage_defend
[10:22:14][pdx_audio.cpp:1023]: Missing sounds for effect: distance_ships_destroyer_damage_defend
[10:22:14][pdx_audio.cpp:984]: Sound effect with name 'ENG_infantry_idle' already added
[10:22:14][pdx_audio.cpp:984]: Sound effect with name 'ENG_infantry_neutral_combat' already added
[10:22:14][pdx_audio.cpp:984]: Sound effect with name 'ENG_infantry_positive_combat' already added
[10:22:14][pdx_audio.cpp:984]: Sound effect with name 'ENG_infantry_retreat' already added
[10:22:14][pdx_audio.cpp:984]: Sound effect with name 'ENG_infantry_move_out' already added
[10:22:14][pdx_audio.cpp:1058]: Missing sound effect: ships_destroyer_damage_defend
[10:22:14][assetfactory_audio.cpp:558]: Unable to find sound effect 'ships_destroyer_damage_defend' when assigning category 'Battle'
[10:22:14][pdx_audio.cpp:1058]: Missing sound effect: distance_ships_destroyer_damage_defend
[10:22:14][assetfactory_audio.cpp:558]: Unable to find sound effect 'distance_ships_destroyer_damage_defend' when assigning category 'Battle'
[10:22:14][pdx_audio.cpp:1151]: SoundEffect 'ENG_infantry_idle' already has category 'Battle', old category will be overwritten
[10:22:14][pdx_audio.cpp:1151]: SoundEffect 'ENG_infantry_neutral_combat' already has category 'Battle', old category will be overwritten
[10:22:14][pdx_audio.cpp:1151]: SoundEffect 'ENG_infantry_positive_combat' already has category 'Battle', old category will be overwritten
[10:22:14][pdx_audio.cpp:1151]: SoundEffect 'ENG_infantry_retreat' already has category 'Battle', old category will be overwritten
[10:22:14][pdx_audio.cpp:1151]: SoundEffect 'ENG_infantry_move_out' already has category 'Battle', old category will be overwritten
[10:22:21][texturehandler.cpp:163]: Texture Handler encountered missing texture file: gfx/interface/goals/GFX_punakaarti.dds
[10:22:21][texturehandler.cpp:303]: Couldn't find texture file: gfx/interface/goals/GFX_punakaarti.dds.
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: 88aagun_attack_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: building_damaged_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: bunker_smoke_effect
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: dustcloud_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: factory_smoke_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: lightning_storm_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: lightning_storm_clouds_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: lightning_storm_small_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: lightning_storm_small_clouds_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: nuke_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: nuke_top_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: rain_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: rain_clouds_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: rain_small_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: rain_small_clouds_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: sandstorm_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: snow_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: snow_clouds_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: snow_small_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: snow_small_clouds_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: snow_storm_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: snow_storm_clouds_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: snow_storm_small_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: snow_storm_small_clouds_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: USA_rifle_cartridge_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: artillery_cartridge_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: artillery_ground_smoke_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: artillery_tyre_tracks_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: blood_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: boot_dust_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: cigarette_smoke_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: lighter_fire_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: mg_cartridge_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: mg_muzzle_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: mg_muzzle_smoke_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: rifle_cartridge_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: rifle_muzzle_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: rocket_exhaust_effect
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: rocket_launch_blast
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: ship_carrier_airplane_death
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: ship_idle
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: GER_heavy_tank_attack_barrel_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: GER_heavy_tank_moving_tracks_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: bomb_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: explosion_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: heavy_tank_attack_barrel_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: heavy_tank_attack_barrel_smoke_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: light_tank_attack_barrel_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: light_tank_attack_barrel_smoke_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: mechanized_attack_barrel_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: plane_mg_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: plane_mg_muzzle_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: ship_damaged_smoke_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: ship_explosion_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: ship_fire_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: ship_fire_small_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: ship_fire_water_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: ship_fire_water_shockwave_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: ship_hit_effect_big_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: ship_hit_effect_small_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: ship_moving_back_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: ship_moving_back_fleet_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: ship_moving_front_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: ship_moving_front_fleet_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: submarine_torpedo_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: supply_drop_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: tank_exhaust_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: tank_moving_tracks_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: vehicle_explode_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: water_impact_file
[10:22:48][pdx_particle.cpp:1535]: Particle name is not unique: water_impact_small_file
[10:22:50][pdx_entity.cpp:2208]: Couldn't find mesh "ak47_mesh" (or ak47_mesh is not of 'pdxmesh' type)
[10:22:50][pdx_entity.cpp:215]: Could not find animation "bicycle_move" for state "move" in entity "JAP_bicycle_rider_rifle_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "bicycle_move_2" for state "move_2" in entity "JAP_bicycle_rider_rifle_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "bicycle_retreat" for state "retreat" in entity "JAP_bicycle_rider_rifle_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "bicycle_retreat_2" for state "retreat_2" in entity "JAP_bicycle_rider_rifle_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "bicycle_idle" for state "idle" in entity "JAP_bicycle_rider_rifle_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "bicycle_idle_2" for state "idle_2" in entity "JAP_bicycle_rider_rifle_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "bicycle_move" for state "move" in entity "JAP_bicycle_rider_mg_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "bicycle_move_2" for state "move_2" in entity "JAP_bicycle_rider_mg_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "bicycle_retreat" for state "retreat" in entity "JAP_bicycle_rider_mg_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "bicycle_retreat_2" for state "retreat_2" in entity "JAP_bicycle_rider_mg_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "bicycle_idle" for state "idle" in entity "JAP_bicycle_rider_mg_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "bicycle_idle_2" for state "idle_2" in entity "JAP_bicycle_rider_mg_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "cavalry_attack" for state "attack" in entity "CHI_cavalry_rifle_combined_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "cavalry_attack_2" for state "attack" in entity "CHI_cavalry_rifle_combined_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "cavalry_attack" for state "defend" in entity "CHI_cavalry_rifle_combined_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "cavalry_attack_2" for state "defend" in entity "CHI_cavalry_rifle_combined_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "cavalry_attack" for state "support_attack" in entity "CHI_cavalry_rifle_combined_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "cavalry_attack_2" for state "support_attack" in entity "CHI_cavalry_rifle_combined_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "cavalry_attack" for state "attack" in entity "PRC_cavalry_rifle_combined_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "cavalry_attack_2" for state "attack" in entity "PRC_cavalry_rifle_combined_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "cavalry_attack" for state "defend" in entity "PRC_cavalry_rifle_combined_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "cavalry_attack_2" for state "defend" in entity "PRC_cavalry_rifle_combined_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "cavalry_attack" for state "support_attack" in entity "PRC_cavalry_rifle_combined_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "cavalry_attack_2" for state "support_attack" in entity "PRC_cavalry_rifle_combined_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "cavalry_attack" for state "attack" in entity "GXC_cavalry_rifle_combined_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "cavalry_attack_2" for state "attack" in entity "GXC_cavalry_rifle_combined_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "cavalry_attack" for state "defend" in entity "GXC_cavalry_rifle_combined_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "cavalry_attack_2" for state "defend" in entity "GXC_cavalry_rifle_combined_entity"
[10:22:50][pdx_entity.cpp:215]: Could not find animation "cavalry_attack" for state "support_attack" in entity "GXC_cavalry_rifle_combined_entity"
